outlet,group,estimated_country,domain_country,basis,broad,both,only_pair,only_pair_specific,specific_kenya
busseltonmail.com.au,Third country,AS,AS,estimate_domain_agree,3,3,0,0,0
cbsnews.com,Third country,US,,estimate_only,3,3,0,0,3
chicagotribune.com,Third country,US,,estimate_only,3,3,0,0,1
cleantechnica.com,Third country,US,,estimate_only,3,3,0,0,2
crookwellgazette.com.au,Third country,AS,AS,estimate_domain_agree,3,3,0,0,0
dailyliberal.com.au,Third country,AS,AS,estimate_domain_agree,3,3,0,0,0
dostor.org,Third country,EG,,estimate_only,3,3,0,0,1
ekriti.gr,Third country,GR,GR,estimate_domain_agree,3,3,0,0,1
elpais.com,Third country,SP,,estimate_only,3,3,0,0,0
elpasoinc.com,Third country,US,,estimate_only,3,3,0,0,0
enidnews.com,Third country,US,,estimate_only,3,3,0,0,3
euronews.com,Third country,US,,estimate_only,3,3,0,0,0
express.co.uk,Third country,UK,UK,estimate_domain_agree,3,3,0,0,2
fairfieldsuntimes.com,Third country,US,,estimate_only,3,3,0,0,0
fijivillage.com,Third country,FJ,,estimate_only,3,3,0,0,0
finanznachrichten.de,Third country,GM,GM,estimate_domain_agree,3,3,0,0,1
freshplaza.com,Third country,US,,estimate_only,3,3,0,0,1
globes.co.il,Third country,IS,IS,estimate_domain_agree,3,3,0,0,0
go.com,Third country,US,,estimate_only,3,3,0,0,2
goulburnpost.com.au,Third country,AS,AS,estimate_domain_agree,3,3,0,0,0
guardian.ng,Third country,NI,NI,estimate_domain_agree,3,3,0,0,0
hawkesburygazette.com.au,Third country,AS,AS,estimate_domain_agree,3,3,0,0,1
heraldbulletin.com,Third country,US,,estimate_only,3,3,0,0,3
ibtimes.com.au,Third country,AS,AS,estimate_domain_agree,3,3,0,0,0
iefimerida.gr,Third country,GR,GR,estimate_domain_agree,3,3,0,0,1
independent.co.uk,Third country,UK,UK,estimate_domain_agree,3,3,0,0,2
insidenova.com,Third country,US,,estimate_only,3,3,0,0,0
investegate.co.uk,Third country,UK,UK,estimate_domain_agree,3,3,0,0,2
iol.co.za,Third country,SF,SF,estimate_domain_agree,3,3,0,0,0
irishexaminer.com,Third country,EI,,estimate_only,3,3,0,0,1
jamaicaobserver.com,Third country,JM,,estimate_only,3,3,0,0,0
jornaldebrasilia.com.br,Third country,BR,BR,estimate_domain_agree,3,3,0,0,0
justsecurity.org,Third country,US,,estimate_only,3,3,0,0,0
katherinetimes.com.au,Third country,AS,AS,estimate_domain_agree,3,3,0,0,0
keyt.com,Third country,US,,estimate_only,3,3,0,0,1
kiro7.com,Third country,US,,estimate_only,3,3,0,0,3
kob.com,Third country,US,,estimate_only,3,3,0,0,2
krmg.com,Third country,US,,estimate_only,3,3,0,0,2
lancasteronline.com,Third country,US,,estimate_only,3,3,0,0,3
libnanews.com,Third country,LE,,estimate_only,3,3,0,0,3
lifo.gr,Third country,GR,GR,estimate_domain_agree,3,3,0,0,1
mankatofreepress.com,Third country,US,,estimate_only,3,3,0,0,3
menafn.com,Third country,US,,estimate_only,3,3,0,0,2
miragenews.com,Third country,AS,,estimate_only,3,3,0,0,2
mymotherlode.com,Third country,US,,estimate_only,3,3,0,0,2
news247.gr,Third country,GR,GR,estimate_domain_agree,3,3,0,0,1
newsday.com,Third country,US,,estimate_only,3,3,0,0,3
northerndailyleader.com.au,Third country,AS,AS,estimate_domain_agree,3,3,0,0,0
nos.nl,Third country,NL,NL,estimate_domain_agree,3,3,0,0,0
premiumtimesng.com,Third country,NI,,estimate_only,3,3,0,0,1
pressdemocrat.com,Third country,US,,estimate_only,3,3,0,0,3
protagon.gr,Third country,GR,GR,estimate_domain_agree,3,3,0,0,1
rador.ro,Third country,RO,RO,estimate_domain_agree,3,3,0,0,3
redlandcitybulletin.com.au,Third country,AS,AS,estimate_domain_agree,3,3,0,0,1
sb.by,Third country,BO,BO,estimate_domain_agree,3,3,0,0,1
simpleflying.com,Third country,US,,estimate_only,3,3,0,0,3
sofokleousin.gr,Third country,GR,GR,estimate_domain_agree,3,3,0,0,1
straitstimes.com,Third country,SN,,estimate_only,3,3,0,0,0
techradar.com,Third country,UK,,estimate_only,3,3,0,0,0
telegrafi.com,Third country,KV,,estimate_only,3,3,0,0,2
thefrontierpost.com,Third country,PK,,estimate_only,3,3,0,0,1
